HCPID,ParamID.m1,ans.m1,bll.m1,lf.m1,PSwitch.LL.m1,PSwitch.mean_Punishment_MostlyPunishment.m1,PSwitch.mean_Reward_MostlyPunishment.m1,PSwitch.mean_Punishment_MostlyReward.m1,PSwitch.mean_Reward_MostlyReward.m1,PSwitch.sd_Punishment_MostlyPunishment.m1,PSwitch.sd_Reward_MostlyPunishment.m1,PSwitch.sd_Punishment_MostlyReward.m1,PSwitch.sd_Reward_MostlyReward.m1,ParamID.m2,ans.m2,bll.m2,lf.m2,PSwitch.LL.m2,PSwitch.mean_Punishment_MostlyPunishment.m2,PSwitch.mean_Reward_MostlyPunishment.m2,PSwitch.mean_Punishment_MostlyReward.m2,PSwitch.mean_Reward_MostlyReward.m2,PSwitch.sd_Punishment_MostlyPunishment.m2,PSwitch.sd_Reward_MostlyPunishment.m2,PSwitch.sd_Punishment_MostlyReward.m2,PSwitch.sd_Reward_MostlyReward.m2,Punishment_MostlyPunishment.subj,Reward_MostlyPunishment.subj,Punishment_MostlyReward.subj,Reward_MostlyReward.subj,best_model,maxLL_diff
162329_fnca,72,0.3,0.5,0.1,-7.14198771460556,0.3,0.28,0.276,0.273,0.277746029931765,0.271052370871575,0.320433380003408,0.258372062051956,61,0.25,0.6,0.1,-7.18045098554894,0.265,0.248,0.324,0.286,0.247899337701118,0.257333262838805,0.322970902840539,0.267650396401495,0.7,0.6,0.2,0.75,m1,0.03846327094337987
162228_fnca,129,0.5,0.75,0.1,-4.48967541473594,0.406,0.452,0.416,0.413,0.192099039082257,0.296400170756513,0.264467119209283,0.169275165433838,51,0.2,0.75,0.1,-4.01324510075789,0.217,0.232,0.204,0.204,0.265654755236175,0.31392186731018,0.269512030703413,0.249865269818005,0.5,0.6,0.6,0.55,m2,0.47643031397804947
162026_fnca,111,0.45,0.5,0.1,-6.26303133663498,0.403,0.412,0.448,0.363,0.179685098697353,0.284023569013387,0.284454364906369,0.214002193389484,101,0.4,0.65,0.1,-6.78157664581146,0.368,0.36,0.312,0.375,0.17864569884071,0.277010277566647,0.262359777902834,0.211710719075413,0.45,0.8,0.2,0.7,m1,0.5185453091764796
161731_fnca,101,0.4,0.65,0.1,-5.22980879735707,0.374,0.388,0.396,0.364,0.185230138156923,0.295296461204668,0.25068070593193,0.209479432529929,101,0.4,0.65,0.1,-5.86343396219711,0.374,0.388,0.396,0.364,0.185230138156923,0.295296461204668,0.25068070593193,0.209479432529929,0.4,0.6,0.4,0.7,m1,0.6336251648400397
161630_fnca,104,0.4,0.8,0.1,-5.09526847910715,0.403,0.444,0.36,0.399,0.206380370052137,0.305834422322849,0.249079939630896,0.193382881288676,91,0.35,0.8,0.1,-5.10472537644612,0.277,0.288,0.236,0.268,0.203843177016859,0.27452370627347,0.216427392736064,0.212794813501319,0.526315789473684,0.5,0.4,0.7,m1,0.009456897338969483
161327_fnca,122,0.5,0.4,0.1,-6.0476972478869,0.442,0.48,0.48,0.415,0.17881697403793,0.202030508910442,0.20995626366713,0.151270132746767,61,0.25,0.6,0.1,-4.67805034519562,0.202,0.212,0.192,0.187,0.230341361585675,0.24713872828921,0.231974664344965,0.230971771400042,0.684210526315789,0.75,0.6,0.55,m2,1.3696469026912794
160830_fnca,43,0.2,0.35,0.1,-4.40932278445842,0.292,0.272,0.296,0.272,0.263485274343593,0.293494080877629,0.313609662491708,0.246435817698844,103,0.4,0.75,0.1,-5.95064973782894,0.331,0.28,0.344,0.32,0.214735242775367,0.232115382989599,0.261986134545089,0.18461211404743,0.555555555555556,0.4,0.2,0.166666666666667,m1,1.5413269533705192
160123_fnca,99,0.4,0.55,0.1,-4.20990870424341,0.392,0.388,0.38,0.401,0.186361509558433,0.266220715549626,0.29485382057929,0.200634198562092,103,0.4,0.75,0.1,-5.10270589953251,0.34,0.312,0.336,0.333,0.221543748846726,0.229142144637296,0.240543602055419,0.216326001154531,0.4,0.6,0.2,0.45,m1,0.8927971952891003
159441_fnca,87,0.35,0.6,0.1,-9.02956833035456,0.4,0.376,0.408,0.381,0.212372410675979,0.263849060128347,0.267901901022424,0.207730693004973,31,0.15,0.4,0.1,-9.20679201454542,0.129,0.156,0.152,0.118,0.228368213235394,0.28654165918585,0.247633699200234,0.216832484952353,0.6,0.8,0.8,0.85,m1,0.17722368419085832
159340_fnca,27,0.15,0.2,0.1,-4.67242087857485,0.221,0.204,0.204,0.211,0.274807910648697,0.287110872419044,0.269512030703413,0.26015889963871,74,0.3,0.6,0.1,-5.98656010093889,0.293,0.276,0.272,0.252,0.254552428343377,0.312697284664793,0.270328598228911,0.234076561694446,0.55,0,0.2,0.15,m1,1.31413922236404
