"","HCPID","ParamID.m1","ans.m1","bll.m1","lf.m1","PSwitch.LL.m1","PSwitch.mean_Punishment.m1","PSwitch.mean_Reward.m1","PSwitch.sd_Punishment.m1","PSwitch.sd_Reward.m1","ParamID.m2","ans.m2","bll.m2","lf.m2","PSwitch.LL.m2","PSwitch.mean_Punishment.m2","PSwitch.mean_Reward.m2","PSwitch.sd_Punishment.m2","PSwitch.sd_Reward.m2","Punishment.subj","Reward.subj","best_model","maxLL_diff"
"65","155231_fnca",39,0.15,0.8,0.1,-3.8314817321899,0.0776,0.0816,0.185588528850294,0.191570949184443,110,0.45,0.45,0.1,-7.22904873488311,0.364,0.3472,0.187486053903119,0.188561038674808,0,0,"m1",3.3975670026932
"66","154936_fnca",88,0.35,0.65,0.1,-4.0061955995506,0.3224,0.2712,0.228344172740383,0.198655069743246,84,0.35,0.45,0.1,-4.88478404079415,0.3504,0.34,0.226931258134192,0.232291161419175,0.35,0.225,"m1",0.878588441243553
"67","154835_fnca",96,0.4,0.4,0.1,-5.85485279859368,0.4392,0.4048,0.183123020989515,0.164753867131227,11,0.05,0.7,0.1,-9.66270096909905,0.1744,0.1816,0.251007439518986,0.254809732938128,0.8,0.384210526315789,"m1",3.80784817050537
"68","154734_fnca",82,0.35,0.35,0.1,-3.7515994864258,0.2944,0.2632,0.219648699109301,0.210746389806152,104,0.4,0.8,0.1,-4.06373846273163,0.3,0.2904,0.208903844690639,0.187931381311458,0.3,0.257894736842105,"m1",0.312138976305832
"69","154431_fnca",73,0.3,0.55,0.1,-3.70984481940163,0.2352,0.2144,0.221260212493465,0.227391238859821,105,0.45,0.2,0.1,-3.88793391092967,0.4392,0.4304,0.173603348035053,0.148694454558085,0.25,0.205263157894737,"m1",0.178089091528041
"70","153833_fnca",125,0.5,0.55,0.1,-4.60806039546542,0.444,0.4456,0.139327832459847,0.142286861728018,71,0.3,0.45,0.1,-7.55173183669568,0.3112,0.3128,0.220024488433002,0.236669406901833,0.475,0.636842105263158,"m1",2.94367144123026
"71","153429_fnca",130,0.5,0.8,0.1,-4.20379833731669,0.3872,0.4008,0.137009458931618,0.167476346182415,102,0.4,0.7,0.1,-6.74331179692251,0.336,0.3144,0.205872954681735,0.201546672571119,0.325,0.575,"m1",2.53951345960582
"72","153025_fnca",113,0.45,0.6,0.1,-4.90136915823278,0.3384,0.3712,0.161262367030898,0.184994649674425,95,0.4,0.35,0.1,-11.0410532271583,0.3136,0.3168,0.183456161698936,0.194258821668202,0.225,0.5,"m1",6.13968406892553
"73","152831_fnca",16,0.1,0.3,0.1,-3.83786611081057,0.092,0.0896,0.200611310646194,0.194211750627074,108,0.45,0.35,0.1,-7.2769193944466,0.352,0.3504,0.189176518368535,0.191502757480014,0.025,0,"m1",3.43905328363603
"74","151728_fnca",128,0.5,0.7,0.1,-4.6999122825077,0.4704,0.4296,0.157233220771839,0.146760390585805,103,0.4,0.75,0.1,-8.72029355956159,0.3288,0.3096,0.211396136508244,0.191374832542349,0.557894736842105,0.4,"m1",4.02038127705389
"75","151627_fnca",125,0.5,0.55,0.1,-6.07205745196103,0.4328,0.4344,0.151550355341324,0.13570917283602,61,0.25,0.6,0.1,-11.875084847108,0.2464,0.2224,0.238958283439787,0.222807320438123,0.65,0.788888888888889,"m1",5.80302739514693
"76","151526_fnca",128,0.5,0.7,0.1,-5.24870030881815,0.4128,0.444,0.119983672358588,0.150590673749765,94,0.4,0.3,0.1,-13.9307226579985,0.3248,0.3,0.215124453775588,0.225587667921736,0.175,0.625,"m1",8.6820223491804
"77","151223_fnca",119,0.5,0.25,0.1,-5.52761968383341,0.4128,0.424,0.156792336339165,0.159591314785931,91,0.35,0.8,0.1,-12.1253557085763,0.3056,0.316,0.217557498850585,0.225587667921736,0.4,0.675,"m1",6.59773602474286
"78","150726_fnca",127,0.5,0.65,0.1,-7.00772269822975,0.4528,0.4232,0.148007721806282,0.154621856046766,81,0.35,0.3,0.1,-18.6882204062438,0.3544,0.3376,0.206349811964923,0.199944482090323,0.675,0.85,"m1",11.6804977080141
"79","150625_fnca",129,0.5,0.75,0.1,-4.63139682480419,0.4456,0.4448,0.119593870568483,0.132945285661402,11,0.05,0.7,0.1,-5.37619953729411,0.116,0.1376,0.21138995786393,0.252486087715335,0.689473684210526,0.425,"m1",0.744802712489915
"80","150524_fnca",113,0.45,0.6,0.1,-3.97988145462241,0.3728,0.3872,0.184180922586727,0.192672292364258,104,0.4,0.8,0.1,-5.66630077488589,0.34,0.3312,0.206861878398834,0.184641295931504,0.35,0.410526315789474,"m1",1.68641932026349
"81","150523_fnca",115,0.45,0.7,0.1,-4.63421012459152,0.391666666666667,0.315714285714286,0.199382550291003,0.198437251477247,87,0.35,0.6,0.1,-5.06514042765403,0.331666666666667,0.267142857142857,0.209259844546637,0.197237269825152,0.5,0.2,"m1",0.43093030306251
"82","150423_fnca",118,0.5,0.2,0.1,-4.75380971416388,0.423076923076923,0.329090909090909,0.200981770968922,0.198569687335761,43,0.2,0.35,0.1,-8.47905629784699,0.249230769230769,0.207272727272727,0.262156440461511,0.242992531190161,0.633333333333333,0.15,"m1",3.7252465836831
"83","149741_fnca",122,0.5,0.4,0.1,-4.53817236534157,0.476,0.4272,0.145068597426127,0.14100282237731,61,0.25,0.6,0.1,-6.28721745780236,0.1456,0.1352,0.225661476643259,0.2064890173489,0.675,0.55,"m1",1.74904509246079
"84","149539_fnca",129,0.5,0.75,0.1,-5.75473859934455,0.4632,0.4448,0.141153267400933,0.152613156412559,81,0.35,0.3,0.1,-11.8241894092976,0.3168,0.3304,0.201519128580077,0.228401365305616,0.575,0.75,"m1",6.0694508099531
"85","149337_fnca",123,0.5,0.45,0.1,-4.617305969437,0.4256,0.4256,0.169274080371787,0.180658206996256,103,0.4,0.75,0.1,-7.58064473334088,0.38,0.3408,0.177832757938234,0.184676661730049,0.475,0.45,"m1",2.96333876390389
"86","148941_fnca",29,0.15,0.3,0.1,-4.10580563070899,0.2264,0.2376,0.246657326537636,0.26365221371329,105,0.45,0.2,0.1,-5.68948799382689,0.4056,0.4008,0.162029979589316,0.197864517655235,0.225,0.25,"m1",1.5836823631179
"87","148840_fnca",126,0.5,0.6,0.1,-4.92738658703308,0.4208,0.4448,0.127580946693398,0.157664588443251,71,0.3,0.45,0.1,-8.51860945216515,0.2328,0.2488,0.22938284547001,0.239903381912513,0.475,0.725,"m1",3.59122286513206
"88","148335_fnca",106,0.45,0.25,0.1,-4.33621025775811,0.3968,0.344,0.184428958724834,0.168353369858928,12,0.05,0.75,0.1,-5.38415635730719,0.1328,0.132,0.23104942487419,0.229746977062567,0.5,0.175,"m1",1.04794609954908
"89","148032_fnca",102,0.4,0.7,0.1,-3.95292254641176,0.3536,0.3688,0.201279174587062,0.218385915670552,104,0.4,0.8,0.1,-6.17863521954805,0.3112,0.284,0.218983178927198,0.208590997125074,0.3,0.45,"m1",2.2257126731363
"90","147737_fnca",108,0.45,0.35,0.1,-5.17928720918673,0.4224,0.3736,0.185544537807514,0.167304683565216,83,0.35,0.4,0.1,-10.6250154597101,0.3624,0.3568,0.199985305582634,0.208370157289809,0.575,0.289473684210526,"m1",5.44572825052332
"91","147030_fnca",132,NA,0.25,0.1,-3.9731004742821,0.0944,0.108,0.182814280690787,0.206071119088651,107,0.45,0.3,0.1,-6.55276107038063,0.3824,0.3792,0.165647277092511,0.171854708449686,0.1,0,"m1",2.57966059609853
"92","146432_fnca",130,0.5,0.8,0.1,-3.89944484295556,0.4456,0.4504,0.156702760352333,0.148089327703221,92,0.4,0.2,0.1,-4.37807658807903,0.3536,0.3768,0.186457414298651,0.218953354458367,0.536842105263158,0.464705882352941,"m1",0.478631745123463
"93","146331_fnca",108,0.45,0.35,0.1,-5.33129295648033,0.44,0.4168,0.14456126446484,0.174279156785302,61,0.25,0.6,0.1,-7.03949180988607,0.276,0.2616,0.254558441227157,0.253782487615691,0.625,0.7,"m1",1.70819885340574
"94","145834_fnca",130,0.5,0.8,0.1,-4.93936011196326,0.4496,0.4072,0.155352922766985,0.150034553843236,61,0.25,0.6,0.1,-6.58169560820032,0.2896,0.276,0.237477904450163,0.233832313892687,0.577777777777778,0.625,"m1",1.64233549623706
"95","144226_fnca",121,0.5,0.35,0.1,-6.70667949878146,0.4464,0.424,0.13817705294,0.133523673663405,11,0.05,0.7,0.1,-11.804491493682,0.1312,0.128,0.229005302496315,0.221313334068995,0.9,0.45,"m1",5.09781199490052
"96","143325_fnca",96,0.4,0.4,0.1,-3.98595746560618,0.3456,0.356,0.18029635467808,0.192470511921135,104,0.4,0.8,0.1,-5.35518928668733,0.336,0.3008,0.197783637712877,0.194997017245633,0.35,0.375,"m1",1.36923182108114
