TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,alpha,egs,r
Punishment,MostlyPunishment,f,645,7,15,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,0,16,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,j,645,1,17,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,2,18,5,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,j,645,3,19,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,4,20,5,0.401534,1.2984301,0.688704535
Neutral,MostlyPunishment,f,645,5,21,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,6,22,5,0.401534,1.2984301,0.688704535
Punishment,MostlyPunishment,f,645,7,23,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,0,24,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,1,25,5,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,2,26,5,0.401534,1.2984301,0.688704535
Reward,MostlyReward,f,645,3,27,5,0.401534,1.2984301,0.688704535
Punishment,MostlyReward,f,645,4,28,5,0.401534,1.2984301,0.688704535
