,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
165,101006_fnca,5,2,Reward,6,5,2.0,0,573,13,1,0,1,0,2.0,3.0,0.0,Punishment,,MostlyPunishment
166,101006_fnca,6,2,Punishment,7,5,2.0,0,470,14,2,0,2,0,3.0,2.0,1.0,Reward,,MostlyPunishment
167,101006_fnca,7,2,Punishment,8,5,3.0,0,430,14,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
168,101006_fnca,8,2,Punishment,9,5,3.0,0,261,14,2,2,0,0,,3.0,,Punishment,,MostlyPunishment
169,101006_fnca,10,2,Reward,10,5,2.0,0,721,14,1,0,1,0,3.0,,1.0,,,MostlyReward
170,101006_fnca,11,2,Neutral,11,5,3.0,0,1170,14,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyReward
171,101006_fnca,12,2,Reward,12,5,3.0,0,360,13,2,2,0,0,3.0,3.0,0.0,Neutral,,MostlyReward
172,101006_fnca,13,2,Reward,13,5,3.0,0,306,13,3,3,0,0,3.0,3.0,0.0,Reward,,MostlyReward
173,101006_fnca,14,2,Reward,14,5,3.0,0,967,13,4,4,0,0,3.0,3.0,0.0,Reward,,MostlyReward
174,101006_fnca,15,2,Reward,15,5,3.0,0,549,13,5,5,0,0,2.0,3.0,1.0,Reward,,MostlyReward
175,101006_fnca,16,2,Neutral,16,5,2.0,0,360,13,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyReward
176,101006_fnca,17,2,Reward,17,5,3.0,0,449,13,1,1,0,0,,2.0,,Neutral,,MostlyReward
177,101006_fnca,19,2,Punishment,18,5,3.0,0,538,14,2,2,0,0,2.0,,1.0,,,MostlyPunishment
178,101006_fnca,20,2,Punishment,19,5,2.0,0,1013,13,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
179,101006_fnca,21,2,Reward,20,5,3.0,0,336,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
180,101006_fnca,22,2,Punishment,21,5,3.0,0,431,13,2,2,0,0,2.0,3.0,1.0,Reward,,MostlyPunishment
181,101006_fnca,23,2,Reward,22,5,2.0,0,507,13,1,0,1,0,2.0,3.0,0.0,Punishment,,MostlyPunishment
182,101006_fnca,24,2,Punishment,23,5,2.0,0,420,13,2,0,2,0,3.0,2.0,1.0,Reward,,MostlyPunishment
183,101006_fnca,25,2,Punishment,24,5,3.0,0,462,13,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
184,101006_fnca,26,2,Punishment,25,5,3.0,0,284,13,2,2,0,0,,3.0,,Punishment,,MostlyPunishment
185,101006_fnca,28,2,Reward,26,5,2.0,0,713,13,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
186,101006_fnca,29,2,Reward,27,5,3.0,0,573,14,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
187,101006_fnca,30,2,Punishment,28,5,3.0,0,335,14,2,2,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
188,101006_fnca,31,2,Reward,29,5,2.0,0,320,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
189,101006_fnca,32,2,Punishment,30,5,2.0,0,459,13,2,0,2,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
190,101006_fnca,33,2,Reward,31,5,3.0,0,317,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
191,101006_fnca,34,2,Reward,32,5,3.0,0,315,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
192,101006_fnca,35,2,Reward,32,5,3.0,0,322,14,3,3,0,0,,3.0,,Reward,MostlyReward,MostlyReward
